薬物乱用,医薬品を医療の目的以外に使用したり、法律で禁じられている薬物などを不正に使用することを何といいますか。
脳,違法薬物は直接どこに働きかけて、幻覚が現れたり、錯乱状態を引き起こしたりするのですか。
薬物依存,薬物は乱用を繰り返すうちに、量や回数も増え、自分の意思ではやめられなくなる。このことを何と言いますか。
依存症状,再び薬物を使用したいという、強い欲求から薬物を手放せなくなる症状を何といいますか。
禁断症状,依存症状に関連して、薬物が切れたときに、生じる疲労感や体の震えなどを何といいますか。
フラッシュバック,薬物の乱用を絶った後も幻覚などの精神異常が突然現れることを何といいますか。
幻聴,薬物乱用による実際にはしない音が聞こえる精神障害を何と言いますか。
幻覚,薬物乱用による物の形や大きさが違って見えたり、実際にはないものが見えたりする精神障害を何と言いますか。
覚醒剤,興奮作用があり、薬が切れると激しい疲労感や脱力感に教われる薬物は何ですか。
大麻,感覚異常になり、乱用を繰り返すと、白血球の減少や免疫力低下などを引き起こす薬物は何ですか。
麻薬,コカインやヘロインなどの薬物は何と言いますか。
有機溶剤,シンナーやトルエンなどを何と言いますか。
大麻,法律で禁じられている薬物には覚せい剤などがありますが、もう一つの代表的なものは何ですか。
興奮作用,覚せい剤の最も基本的な作用として、何がありますか。
断る,薬物を勧められたときは、自分の健康と生涯を考え、どうす
