約36.5°,活動するのに最も適した体温は約何度ですか。
適応,周りの環境の変化にも、体内の状態を一定に保つ働きを何と言いますか。
適応能力,環境の変化に無意識のうちに対応できる能力のことを何といいますか。
高地トレーニング,適応能力を生かし、酸素濃度の低い環境で酸素の運搬能力を高めるトレーニングを何と言いますか。
熱中症,暑さや水分不足などに体が対応できなくなり、体温が上昇し、めまい、頭痛などの症状が出ます。この症状を何と言いますか。
低体温症,冬山や海などで体温が著しく低下することで起こる症状は何ですか。
３０度以下,体温は何度以下になると生命に危険を及ぼしますか。
高山病,高い山で酸素が不足し、かかる病気を何と言いますか。
自律神経,体温は通常、気温が変化しても一定に保たれています。何の神経の働きによって保たれるのですか。
一定,自律神経により体内の状態はどのように保たれていますか。
４１度以上,体温は何度以上になると生命に危険を及ぼしますか。
暑く感じる,同じ気温でも、湿度が高い場合はどのように感じますか。
気流,温熱条件は、気温、湿度、もう１つは何ですか。
至適範囲(してきはんい),無理なく体温も一定に維持することができ、活動しやすい範囲を何といいますか。
１７～２８°,快適な温熱条件の気温は何度から何度ですか。
３０～８０％,快適な温熱条件の湿度は何％～何％ですか。
０.５ｍ以下,快適な温熱条件の気流は毎秒何メートル以下が良いですか。
異なる,明るさの至適範囲は、活動や場所、学習によってどうですか。
異なる,至適範囲は活動の種類や季節によって同じですか、それとも異なりますか。
下がる,至適範囲を超えると、勉強や仕事の能率はどうなりますか。
ルクス,明るさは照度で表しますが、照度は何という単位で表しますか。
採光,自然の光を取り入れたり、それを利用することを何といいますか。
照度計,明るさを測定する器具を何と言いますか。
５００ルクス以上,教室の明るさは何ルクス以上が望ましいとされていますか。
５００から１０００ルクス,コンピュータ教室では、どのくらいのルクスがふさわしいですか。
照明、採光など,室内の明るさの調整について、室内が暗い場合は、何で調整しますか。
カーテン、ブラインドなど,室内の明るさの調整について、室内が眩しい場合は、何で調整しますか。
気温、気流、湿度,暑さや寒さを感じる３つの条件は何ですか。
汗を出す、筋肉が緩む、皮膚の血管が広がる など,暑い時に体に現れる変化を答えなさい。
体を縮める、筋肉が緊張して体が震える、皮膚の血管が縮まるなど,寒い時に体に現れる変化を答えなさい。
二酸化炭素,人の呼吸や物の燃焼で酸素が使われると、何が発生しますか。
空気の汚れ,屋内における二酸化炭素の濃度は、何を知る指標とされていますか。
０.１５％以下,二酸化炭素の濃度について、教室では何％以下が望ましいですか。
換気,空気を清浄に保つには、定期的に何を行うことが必要ですか。
自然換気,窓を開けてする換気を何と言いますか。
人工換気,換気扇などの機器を用いてする換気を何と言いますか。
不完全燃焼,物質が酸素不足で燃焼する時に一酸化炭素が発生しますが、このような状態を何と言いますか。
不完全燃焼,一酸化炭素は、どのような状態で物が燃えることにより発生しますか。
ヘモグロビン,一酸化炭素は、酸素よりも血液中の赤血球に含まれる何と結合しやすいですか。
毒性,一酸化炭素は何が強く、人体に有害ですか。
0.001%以下,学校環境において、許されている一酸化炭素濃度は何パーセント以下ですか。
一酸化炭素中毒,一酸化炭素が体内に入ってしまうと全身で酸素不足になり、頭痛やめまい、吐き気を起こし動けなくなったり、ひどい時には死亡したりします。このことを何と言いますか。
頭痛、吐き気、めまい　など,体の細胞が酸素不足になるとどのような症状が起こりますか。
無色、無臭,一酸化炭素はどのような色、匂いの気体ですか。
石油・ガスストーブ、タバコの煙、自動車の排出ガス、ガスコンロなど,一酸化炭素の発生源を１つ答えなさい。
