性感染症,性的接触で感染する病気を何と言いますか。
精液,性感染症の病原体は男性の場合、どこに存在しますか。
膣分泌液,性感染症の病原体は女性の場合、どこに存在しますか。
血液、皮膚,性感染症の病原体で男女ともに存在するのは粘膜以外にどこですか。
性的な接触,性感染症は、主に何により感染しますか。
潜伏期間,感染して発病するまでの期間を何と言いますか。
泌尿器科,感染の不安や症状がある時は皮膚科、婦人科 とあと何科の医療機関で検査治療を受けられますか。
コンドーム,性感染症の予防には性的接触をしないことが最も有効ですが、直接接触を避けるために有効なものは何ですか。
ＨＩＶ （ヒト免疫不全ウイルス）,エイズの原因となる病原体を何といいますか。
性的接触,ほとんどの場合、性感染症の感染経路は何ですか。
血液,性感染症が輸血や血液製剤、注射器の針から感染する場合、何が感染経路ですか。
増加傾向,日本のHIV感染者やエイズ患者数は、どのような傾向にありますか。
感染の拡大,性感染症の症状が出ないで、本人が気づかないなどの場合、どのような社会的な危険性がありますか。
低下する,ＨＩＶ に感染すると免疫力はどうなりますか。
３ヶ月以内,エイズ感染の検査では、感染の原因と考えられる性的接触などの機会から何カ月以内の場合、正しい検査結果が出ないことがありますか。
がん,エイズに感染すると、様々な感染症のほか、どのような病気にかかりやすくなりますか。
ＨＩＶ 感染者,感染により発症した人をエイズ患者と呼びますが、まだ発症していない人を何といいますか。
保健所,エイズの疑いがあるとき、無料での検査や相談を受け付けている公的機関はどこですか。
不妊症、子宮外妊娠,性感染症の治療をせずに放置すると、女性の場合、どのような症状の原因となることがありますか。
クラミジア、原虫、ウイルス、細菌など,性感染症の病原体を答えなさい。
