約６０～７０％,人の体の水分は体重の約何％ですか。
約２.５L,人が生命を維持するためには、１日に約何Lの水が必要ですか。
約２０％,体内の水分の約何パーセンを失うと死亡しますか。
生活用水,飲料水、炊事、入浴、洗濯、水洗便所などで使用する水を何と言いますか。
公共用水,学校、病院、公園などで使用する水を何と言いますか。
産業用水,農業、工業で使用する水を何と言いますか。
浄水場,河川、湖などから水を取り入れ、水を衛生管理し、各家庭に供給している施設を何といいますか。
水質基準,水質検査によって飲料水としての安全性を確保するために、法律で定められた基準を何といいますか。
塩素,浄水場で取り入れた水を沈殿、ろ過した後、何を使って消毒しますか。
無色透明,水質基準で外観はどういう状態ですか。
水道法,水質基準を定めている法律を何と言いますか。
生活排水,し尿と生活雑配水を合わせたものを何と言いますか。
下水処理場,生活排水は下水道を通ってどこで処理されますか。
水質汚濁,下水道が整備されてない地域では、生活雑配水が未処理のまま海や川に流される。このことが土壌汚染の他に何の原因になっていますか。
合併処理浄化槽,下水道の施設が難しい地域では、何の設備が進められていますか。
し尿,生活排水とは、生活雑排水ともう一つは何ですか。
酸素や栄養分の運搬、食物の消化・吸収、体温調節老、廃物の排出など,体内の水分の働きを答えなさい。
