生活習慣病,生活習慣が原因で起こる病気を何と言いますか。
塩,生活習慣病の原因として、脂肪分、糖分、タンパク質の他に何の取りすぎがありますか。
運動,生活習慣病の原因として睡眠不足の他に何不足がありますか。
ストレス,十分な休養、睡眠を取って、何をためないようにすることが大切ですか。
動脈硬化,動物性脂肪の取りすぎで血管の壁にコレステロールなどが溜まり、血管が硬く、もろくなる病気を何と言いますか。
心臓病,心臓が正常に作動しなくなる病気を何といいますか。
狭心症,心臓の血管が狭くなり、血管の先の筋肉が酸素不足になる病気を何と言いますか。
心筋梗塞,心臓の血管がつまり、血管の先の筋肉が動かなくなる病気を何と言いますか。
糖尿病,血液中のブドウ糖の量が異常に多くなる病気を何と言いますか。
早期発見、早期治療,生活習慣病の予防には、心身に負担のない生活と、定期的な検査による何が大切ですか。
運動、睡眠,生活習慣病は、主に何や何の不足が原因となりますか。
がん,日本人の死因の半数以上は、生活習慣病が影響していますが、その中でも最も多い病気は何ですか。
脳卒中,脳の血管が詰まったり、破れたりして起こる病気を何といいますか。
２型糖尿病,生活習慣病が大きくかかわって起こる糖尿病を何といいますか。
高血圧症,血管内にたまった脂肪などにより、血圧が高くなる病気は何ですか。
自覚症状がない,多くの生活習慣病の初期段階の特徴は何ですか。
癌、心臓病、脳卒中,日本人の３大死亡原因を全て答えなさい。
塩分、脂肪、糖分,生活習慣病は、主に何の摂り過ぎが原因となりますか。３つ答えなさい
