２００種類以上,タバコの煙に含まれている有害物質は、何種類以上ですか。
ニコチン,血管を収縮させる、血圧の上昇、心拍数の増加などの害が見られるものを何と言いますか。
タール,タバコで多くの発癌性物質を含み、肺に付着して肺の働きを低下させる物質を何と言いますか。
依存性,ニコチンは、体内に入ると摂取せずにはいられなくなり、やめられなくなります。このような性質を何と言いますか。
依存性,タバコの有害物質であるニコチンの害の一つで、禁煙の妨げとなるものは何ですか。
タール,タバコの有害物質の中で、特に多くの発がん物質を含むとされているものは何ですか。
酸素,一酸化炭素は血管を傷つけたり、何の運搬能力を低下させますか。
主流煙,喫煙者がタバコから吸い込む煙を何と言いますか。
副流煙,タバコの点火先から出る煙を何といいますか。
副流煙,主流煙と副流煙では、どちらの方が有害物質を多く含みますか。
受動喫煙,タバコの煙を、周囲の人が吸い込むことを何と言いますか。
健康増進法,受動喫煙による悪影響を防止するための対策として、公共施設などで禁煙、分煙を行うことを含めた法律を何と言いますか。
タバコ規制枠組条約,世界保険機構により発行されたタバコによる健康被害防止を目的とする国際条約を何と言いますか。
がん、心臓病,喫煙の開始年齢が早いほど、どのような病気にかかりやすくなりますか。【２つ】
