アルコール,酒の主成分を何と言いますか。
脳,エチルアルコールは神経以外に体のどの器官の働きを低下させますか。
肝臓など,エチルアルコールは体のどの器官で処理されますか。
アセトアルデヒド,エチルアルコールが体内で処理される途中でできるものは何ですか。
アセトアルデヒド,吐き気や二日酔いの原因となる物質は何ですか。
二日酔い,アセトアルデヒドは吐き気や頭痛など何の原因となりますか。
依存性,やめたくてもやめられない性質のことを何と言いますか。
アルコール依存症,アルコールにより飲酒がやめられなくなる症状を何と言いますか。
急性アルコール中毒,短時間で大量の飲酒をすることで起こる一時的な意識障害や呼吸不全などのショック状態を何といいますか。
0.41～0.50％,意識を失い、死亡に至るアルコール血中濃度は何％ですか。
脳の萎縮,未成年者が飲酒をすると脳にどのような影響を与えますか。
未成年者飲酒禁止法,未成年者の飲酒を禁止した法律を何と言いますか。
親,未成年者飲酒禁止法では、酒類の販売業者の他に誰が罰せられますか。
麻酔作用,アルコールを摂取すると脳の働きなどが低下するのは、アルコールどのような作用のためですか。
酩酊期（めいていき）,酔いの状態として、「千鳥足になる」「何度も同じことを言う」などがあるが、この症状を何期といいますか。
脳の萎縮、記憶力の低下、性ホルモンの分泌異常 など,飲酒が未成年者の体に及ぼす影響を答えなさい。
思考力、運動能力、自制力など,アルコールは人のどのような能力を低下させますか。
脳、肝臓,アルコール依存症は全身をむしばむが、特に支障をきたすのはどの器官ですか。
