精子,精巣で作られるものを何と言いますか。
精液,精のうや前立腺から分泌される粘液と精子が混ざったものを何といいますか。
卵子,卵巣で作られるものを何と言いますか。
射精,精液が性的な刺激により、尿道を通って体外に放出されることを何といいますか。
排卵,卵巣から卵子が卵管に排出されることを何といいますか。
精通,射精が初めて起こることを何といいますか。
卵管,精子と卵子が結合するところはどこですか。
受精,精子と卵子が結合する状態を何と言いますか。
受精卵,精子が排卵された卵子と結合したものを何といいますか。
子宮,排卵の後に卵子はどこに運ばれますか。
子宮内膜,受精卵がもぐり込んで落ち着くところを何と言いますか。
着床,受精卵が子宮内膜に落ち着くことを何といいますか。
月経,結合しなかった卵子が、子宮内膜の一部や血液とともに体外に排出されることを何といいますか。
妊娠,受精卵が着床した状態を何といいますか。
性腺刺激ホルモン,思春期に下垂体から分泌され、生殖器官の精巣、卵巣を刺激することで、性ホルモンや精子、卵子の生成を促すはたらきをするものは何ですか。
内分泌腺,ホルモンはどこから分泌されますか。
