細菌,病原体にはウイルスのほか、どのようなものがありますか。
病原体,感染症とは、主に何が原因で発生しますか。
感染,病原体が体内に侵入して定着、増殖することを何と言いますか。
感染症,病原体の感染によって起こる病気を何と言いますか。
発病,感染の後、発熱などの症状が現れますが、この症状を何といいますか。
潜伏期間,感染から発病までの期間を何と言いますか。
経口感染,病原体が付着した食品を食べることなどによる感染を何といいますか。
飛沫感染,感染した人のせきやくしゃみを吸い込むことによる感染を何といいますか。
抵抗力、栄養状態,感染症の発病に関係する主体の条件としてあげられるものは何ですか。
温度や湿度、人口密度、交通網など,感染症の拡散に関係する環境の条件としてあげられるものは何ですか。
感染経路,病原体が体の中に侵入する経路を何といいますか。
免疫,抵抗力の中で、体内に侵入した病原体から体を守る仕組みを何と言いますか。
予防接種,免疫の仕組みを利用して、人工的に体内に抗体を作っておく方法を何と言いますか。
リンパ球,ウイルスなどと戦い、免疫の働きをする白血球の一種を何と言いますか。
ワクチン,体に取り込むことで人工的に抗体を作ることができるものを何といいますか。
免疫,予防接種は何の仕組みを応用したものといえるか。
マスク,病原体を人にうつさないため、着用するとよいものは何ですか。
塩素系消毒,ノロウイルスの消毒のためには何が有効ですか。
衛生管理,手洗いや、食器の加熱、調理器具の殺菌などを含めて何といいますか。
抗生物質,体内に入った細菌はどのような薬により死滅しますか。
