回復体位,呼吸が楽にできるよう横向きに寝かせた体位を何と言いますか。
直接圧迫止血法,出血を止めるために、患部を強く押さえる方法を何といいますか。
斜め,巻き包帯の巻き始めは端をどのように出しておくのですか。
中心,患部から体のどこに向けて巻いていくのですか。
固定具,骨折が疑われる時は患部を動かさないように何を当てて固定しますか。
脱臼,関節が外れた状態を何と言いますか。
捻挫,関節が外れかかって元に戻った状態を何と言いますか。
心肺蘇生,119番通報の後に、傷病者の呼吸が停止しているとみられる場合は何を行うとよいか。
15秒以内,心臓が停止すると、約何秒以内に意識がなくなりますか。
100～120回,胸骨圧迫は１分間に何回くらい行いますか。
真ん中,胸骨圧迫を行うとき、圧迫する場所は胸のどのあたりですか。
気道の確保,呼吸の、空気が通る道を作るために、のどの奥を広げる処置を何といいますか。
酸素,人工呼吸は、傷病者の肺に何を送り込むために行いますか。
電気ショック,ＡＥＤは何を与えることにより心臓の働きを元に戻すのですか。
２カ所,ＡＥＤパッドは、胸部の何か所に貼りますか。
心肺蘇生（ 胸骨圧迫と人工呼吸）,ＡＥＤは何と組み合わせて蘇生を行うことが重要ですか。
傷口を洗う,皮膚や粘膜が傷により出血しているとき、細菌感染を防ぐため、まずは何をしますか。
ビニール手袋,直接圧迫止血法では、血液からの感染を防止するため、手当をするものは何を身につけますか。
うっ血,傷を基準に心臓に遠いほうから包帯を巻くのは、何を避けるためですか。
三角巾による方法,巻き包帯以外に、布を使う包帯法として何がありますか。
タオル,固定具を使うときは、患部が動かせないようにするため何を挟むと良いですか。
すぐに清潔な流水で患部を冷やす,火傷（やけど）の手当てでまずすることを書きなさい。
血液の流れを妨げないため,締め過ぎず、ゆる過ぎないようにするのはなぜですか。
骨折、ひび,固定具を使う方法が有効なのは、どのような怪我のときですか。
症状の悪化を防ぐ、不安や苦痛を和らげる、治療後の回復を早める,応急手当ての目的について、３つ答えなさい。
出血を止める、痛みを和らげる、細菌感染の防止,怪我の手当ての目的について、３つ答えなさい。
傷口、体の下,包帯止めや結び目はどこを避けますか。
捻挫、脱臼,三角巾による方法は、どのような怪我の手当てに適していますか
